6886.52; 10; 0.25
9989.53; 10; 0.5
16259.4; 10; 0.75
23444.2; 10; 0.99
193228; 50; 0.25
544503; 50; 0.5
1.91129e+006; 50; 0.75
3.65854e+006; 50; 0.99
2.0549e+006; 100; 0.25
8.25578e+006; 100; 0.5
1.81608e+007; 100; 0.75
4.12923e+007; 100; 0.99
3.09016e+007; 200; 0.25
1.29317e+008; 200; 0.5
4.05292e+008; 200; 0.75
8.51231e+008; 200; 0.99
7.24126e+007; 280; 0.25
4.5474e+008; 280; 0.5
1.63831e+009; 280; 0.75
4.392184e+009; 280; 0.99
1.53513e+008; 350; 0.25
8.38329e+008; 350; 0.5
3.30067e+009; 350; 0.75

