11255.2; 10; 0.25
19499.5; 10; 0.5
26682.5; 10; 0.75
29179.5; 10; 0.99
332038; 50; 0.25
494270; 50; 0.5
1.0206e+006; 50; 0.75
1.67474e+006; 50; 0.99
1.16292e+006; 100; 0.25
2.83943e+006; 100; 0.5
6.72939e+006; 100; 0.75
1.15891e+007; 100; 0.99
5.44577e+006; 200; 0.25
1.92218e+007; 200; 0.5
5.83111e+007; 200; 0.75
1.11652e+008; 200; 0.99
1.25149e+007; 280; 0.25
6.35045e+007; 280; 0.5
2.21158e+008; 280; 0.75
4.261e+008; 280; 0.99
2.64112e+007; 350; 0.25
1.45884e+008; 350; 0.5
6.05578e+008; 350; 0.75
1.04885e+009; 350; 0.99
