6622.98; 10; 0.25
9684; 10; 0.5
16527.5; 10; 0.75
25074.2; 10; 0.99
284541; 50; 0.25
427160; 50; 0.5
1.18049e+006; 50; 0.75
3.3415e+006; 50; 0.99
3.13063e+006; 100; 0.25
5.5836e+006; 100; 0.5
6.59792e+006; 100; 0.75
2.93116e+007; 100; 0.99
7.40879e+007; 200; 0.25
7.38636e+007; 200; 0.5
1.66688e+008; 200; 0.75
5.58811e+008; 200; 0.99
2.44438e+008; 280; 0.25
2.35843e+008; 280; 0.5
4.5771e+008; 280; 0.75
3.08547e+009; 280; 0.99
8.99196e+008; 350; 0.25
3.80904e+008; 350; 0.5
1.27789e+009; 350; 0.75
