11155.6; 10; 0.25
17911.4; 10; 0.5
25275.8; 10; 0.75
28011.2; 10; 0.99
375587; 50; 0.25
961545; 50; 0.5
781728; 50; 0.75
1.30622e+006; 50; 0.99
1.61723e+006; 100; 0.25
3.01376e+006; 100; 0.5
4.27561e+006; 100; 0.75
9.11712e+006; 100; 0.99
6.40329e+006; 200; 0.25
1.09709e+007; 200; 0.5
2.25378e+007; 200; 0.75
6.57153e+007; 200; 0.99
1.14921e+007; 280; 0.25
2.81014e+007; 280; 0.5
9.29337e+007; 280; 0.75
2.86283e+008; 280; 0.99
2.47687e+007; 350; 0.25
5.10699e+007; 350; 0.5
2.31437e+008; 350; 0.75
5.98876e+008; 350; 0.99
