21197.7; 10; 0.25
31370; 10; 0.5
41206; 10; 0.75
50468.8; 10; 0.99
420092; 50; 0.25
893896; 50; 0.5
1.04316e+006; 50; 0.75
1.30556e+006; 50; 0.99
1.45984e+006; 100; 0.25
2.9762e+006; 100; 0.5
4.50522e+006; 100; 0.75
6.41425e+006; 100; 0.99
8.70631e+006; 200; 0.25
1.99275e+007; 200; 0.5
3.5372e+007; 200; 0.75
5.38642e+007; 200; 0.99
2.33991e+007; 280; 0.25
6.15357e+007; 280; 0.5
1.12916e+008; 280; 0.75
1.76927e+008; 280; 0.99
4.71263e+007; 350; 0.25
1.29783e+008; 350; 0.5
2.55565e+008; 350; 0.75
4.0348e+008; 350; 0.99
